timestamp_ms,chunk_bytes,total_bytes
0.000,9,9
3.045,9,18
3.078,512,530
103.176,9,539
103.272,512,1051
203.342,9,1060
203.361,512,1572
303.710,9,1581
303.750,512,2093
404.176,9,2102
404.347,512,2614
504.668,9,2623
504.783,512,3135
604.869,9,3144
604.897,512,3656
705.143,9,3665
705.164,512,4177
805.174,9,4186
805.203,512,4698
905.299,9,4707
905.467,512,5219
1005.645,9,5228
1005.695,512,5740
1106.025,9,5749
1106.042,512,6261
1206.039,9,6270
1206.065,512,6782
1306.166,9,6791
1306.193,512,7303
1406.254,9,7312
1406.274,512,7824
1506.373,9,7833
1506.387,512,8345
1606.571,9,8354
1606.623,512,8866
1706.763,9,8875
1706.792,512,9387
1806.879,9,9396
1806.934,512,9908
1907.085,9,9917
1907.100,512,10429
2007.284,9,10438
2007.360,512,10950
2107.501,9,10959
2107.553,512,11471
2207.650,9,11480
2207.702,512,11992
2307.870,9,12001
2307.909,512,12513
2408.009,9,12522
2408.052,512,13034
2508.260,9,13043
2508.297,512,13555
2608.282,9,13564
2608.297,512,14076
2708.458,9,14085
2708.507,512,14597
2808.646,9,14606
2808.685,512,15118
2908.810,9,15127
2908.831,512,15639
3008.952,9,15648
3008.978,512,16160
3109.394,9,16169
3109.496,512,16681
3209.717,9,16690
3209.766,512,17202
3309.899,9,17211
3309.938,512,17723
3410.017,9,17732
3410.058,512,18244
3510.195,9,18253
3510.210,512,18765
3610.464,9,18774
3610.480,512,19286
3710.709,9,19295
3710.740,512,19807
3811.030,9,19816
3811.062,512,20328
3911.258,9,20337
3911.396,512,20849
4011.460,9,20858
4011.477,512,21370
4111.718,9,21379
4111.732,512,21891
4211.844,9,21900
4211.919,512,22412
4312.064,9,22421
4312.080,512,22933
4412.243,9,22942
4412.259,512,23454
4512.362,9,23463
4512.390,512,23975
4612.506,9,23984
4612.524,512,24496
4712.720,9,24505
4712.769,512,25017
4812.919,9,25026
4813.144,512,25538
4913.291,9,25547
4913.309,512,26059
5013.408,9,26068
5013.426,512,26580
5113.632,9,26589
5113.646,512,27101
5213.791,9,27110
5213.885,512,27622
5314.041,9,27631
5314.065,512,28143
5414.257,9,28152
5414.302,512,28664
5514.434,9,28673
5514.471,512,29185
5614.699,9,29194
5614.727,512,29706
5714.841,9,29715
5714.960,512,30227
5815.080,9,30236
5815.116,512,30748
5915.212,9,30757
5915.273,512,31269
6015.372,9,31278
6015.394,512,31790
6115.615,9,31799
6115.640,512,32311
6215.798,9,32320
6215.834,512,32832
6315.933,9,32841
6315.977,512,33353
6416.153,9,33362
6416.183,512,33874
6516.248,9,33883
6516.263,512,34395
6616.505,9,34404
6616.530,512,34916
6716.675,9,34925
6716.716,512,35437
6816.807,9,35446
6816.927,512,35958
6917.161,9,35967
6917.326,512,36479
7017.524,9,36488
7017.560,512,37000
7117.638,9,37009
7117.655,512,37521
7217.927,9,37530
7217.963,512,38042
7318.139,9,38051
7318.175,512,38563
7418.487,9,38572
7418.540,512,39084
7518.800,9,39093
7518.821,512,39605
7618.935,9,39614
7619.044,512,40126
7719.328,9,40135
7719.345,512,40647
7819.376,9,40656
7819.422,512,41168
7919.596,9,41177
7919.609,512,41689
8019.809,9,41698
8019.879,512,42210
8120.029,9,42219
8120.085,512,42731
8220.393,9,42740
8220.417,512,43252
8320.524,9,43261
8320.553,512,43773
8420.767,9,43782
8420.784,512,44294
8520.915,9,44303
8520.941,512,44815
8621.087,9,44824
8621.128,512,45336
8721.316,9,45345
8721.344,512,45857
8821.495,9,45866
8821.522,512,46378
8921.630,9,46387
8921.659,512,46899
9021.901,9,46908
9021.916,512,47420
9122.054,9,47429
9122.078,512,47941
9222.253,9,47950
9222.266,512,48462
9322.341,9,48471
9322.367,512,48983
9422.555,9,48992
9422.603,512,49504
9522.782,9,49513
9522.824,512,50025
9622.962,9,50034
9622.981,512,50546
9723.036,9,50555
9723.052,512,51067
9823.181,9,51076
9823.202,512,51588
9923.331,9,51597
9923.348,512,52109
10023.611,9,52118
10023.642,512,52630
10123.843,9,52639
10123.896,512,53151
10224.229,9,53160
10224.270,512,53672
10324.390,9,53681
10324.454,512,54193
10424.863,9,54202
10424.924,512,54714
10525.246,9,54723
10525.279,512,55235
10625.511,9,55244
10625.542,512,55756
10725.789,9,55765
10725.823,512,56277
10825.974,9,56286
10825.999,512,56798
10926.212,9,56807
10926.253,512,57319
11026.439,9,57328
11026.497,512,57840
11126.809,9,57849
11126.861,512,58361
11227.209,9,58370
11227.277,512,58882
11327.532,9,58891
11327.627,512,59403
11427.754,9,59412
11427.798,512,59924
11528.158,9,59933
11528.275,512,60445
11628.538,9,60454
11628.629,512,60966
11728.916,9,60975
11729.074,512,61487
11829.293,9,61496
11829.385,512,62008
11929.712,9,62017
11929.824,512,62529
12030.241,9,62538
12030.347,512,63050
12130.606,9,63059
12132.927,512,63571
12233.107,9,63580
12233.173,512,64092
12333.617,9,64101
12333.739,512,64613
12434.143,9,64622
12434.278,512,65134
12534.499,9,65143
12534.560,512,65655
12634.888,9,65664
12634.983,512,66176
12735.419,9,66185
12735.505,512,66697
12835.839,9,66706
12835.867,512,67218
12936.061,9,67227
12936.101,512,67739
13036.376,9,67748
13036.438,512,68260
